point_name,month_year,TBOT_avg,PRECTmms_total_mm
2_6_105_51297,1981-08,293.91406,0.8936577
2_6_105_51297,1981-09,289.00824,32.399963
2_6_105_51297,1981-10,281.12408,172.16974
2_6_105_51297,1981-11,277.05048,534.9443
2_6_105_51297,1981-12,273.89786,518.66235
2_6_105_51297,1982-01,272.1989,205.90779
2_6_105_51297,1982-02,273.26645,281.9436
2_6_105_51297,1982-03,273.36734,304.71216
2_6_105_51297,1982-04,276.2257,221.88443
2_6_105_51297,1982-05,284.42957,0.76146126
2_6_105_51297,1982-06,288.49167,35.484917
2_6_105_51297,1982-07,291.82492,4.230335
2_6_105_51297,1982-08,292.15247,0.13647461
2_6_105_51297,1982-09,286.35086,28.465244
2_6_105_51297,1982-10,281.15076,268.10956
2_6_105_51297,1982-11,274.37146,229.2974
2_6_105_51297,1982-12,272.95728,531.82324
2_6_105_51297,1983-01,274.83328,559.9199
2_6_105_51297,1983-02,273.8316,716.80066
2_6_105_51297,1983-03,274.2809,807.35126
2_6_105_51297,1983-04,275.3858,190.48016
2_6_105_51297,1983-05,283.1287,22.000381
2_6_105_51297,1983-06,286.74515,4.177223
2_6_105_51297,1983-07,288.91196,1.9474564
2_6_105_51297,1983-08,290.93204,241.80301
2_6_105_51297,1983-09,288.3674,53.97434
2_6_105_51297,1983-10,283.93195,72.60144
2_6_105_51297,1983-11,274.2141,627.3159
2_6_105_51297,1983-12,271.73297,564.02997
2_6_105_51297,1984-01,276.01614,15.499504
2_6_105_51297,1984-02,274.27692,212.11047
2_6_105_51297,1984-03,276.87848,172.52814
2_6_105_51297,1984-04,276.37964,64.14703
2_6_105_51297,1984-05,284.01205,23.407967
2_6_105_51297,1984-06,287.81024,15.787193
2_6_105_51297,1984-07,295.1938,6.411873
2_6_105_51297,1984-08,291.9999,0.65541077
2_6_105_51297,1984-09,288.57455,12.542083
2_6_105_51297,1984-10,278.45712,109.05286
2_6_105_51297,1984-11,273.26822,569.2384
2_6_105_51297,1984-12,271.78378,138.00479
2_6_105_51297,1985-01,275.17078,28.57837
2_6_105_51297,1985-02,273.9634,94.70051
2_6_105_51297,1985-03,274.03406,140.89087
2_6_105_51297,1985-04,281.84732,8.661171
2_6_105_51297,1985-05,283.2827,9.751064
2_6_105_51297,1985-06,291.52167,3.1113434
2_6_105_51297,1985-07,295.2634,8.834724
2_6_105_51297,1985-08,291.4191,0.18192673
2_6_105_51297,1985-09,285.3628,32.61882
2_6_105_51297,1985-10,281.9752,113.58901
2_6_105_51297,1985-11,272.6355,66.69087
2_6_105_51297,1985-12,276.36703,192.77461
2_6_105_51297,1986-01,275.2018,522.11646
2_6_105_51297,1986-02,275.5684,536.7875
2_6_105_51297,1986-03,278.3545,298.5469
2_6_105_51297,1986-04,278.9453,28.865135
2_6_105_51297,1986-05,284.3353,42.949768
2_6_105_51297,1986-06,291.3027,4.9188805
2_6_105_51297,1986-07,292.23077,3.6165047
2_6_105_51297,1986-08,294.32034,0.10870743
2_6_105_51297,1986-09,284.6654,75.48956
2_6_105_51297,1986-10,283.34528,69.17265
2_6_105_51297,1986-11,277.76935,41.588455
2_6_105_51297,1986-12,274.92633,183.37428
2_6_105_51297,1987-01,272.49445,306.98203
2_6_105_51297,1987-02,274.32883,231.38957
2_6_105_51297,1987-03,274.71097,462.64093
2_6_105_51297,1987-04,282.13422,34.45714
2_6_105_51297,1987-05,286.82056,6.946457
2_6_105_51297,1987-06,291.74448,4.073601
2_6_105_51297,1987-07,290.14148,12.702461
2_6_105_51297,1987-08,293.72528,0.020507812
2_6_105_51297,1987-09,290.55734,2.172509
2_6_105_51297,1987-10,287.50558,15.710581
2_6_105_51297,1987-11,277.3815,169.04219
2_6_105_51297,1987-12,271.15186,751.174
2_6_105_51297,1988-01,273.00513,309.81308
2_6_105_51297,1988-02,277.65726,11.958064
2_6_105_51297,1988-03,277.22034,8.450317
2_6_105_51297,1988-04,279.99985,104.38855
2_6_105_51297,1988-05,282.17606,47.578705
2_6_105_51297,1988-06,287.90527,79.353775
2_6_105_51297,1988-07,295.56644,3.287342
2_6_105_51297,1988-08,293.8364,3.8358574
2_6_105_51297,1988-09,290.05743,0.038268566
2_6_105_51297,1988-10,287.54813,41.95448
2_6_105_51297,1988-11,275.11038,336.07758
2_6_105_51297,1988-12,273.24265,138.7479
2_6_105_51297,1989-01,273.45532,50.705566
2_6_105_51297,1989-02,270.3238,84.355095
2_6_105_51297,1989-03,274.57715,476.1977
2_6_105_51297,1989-04,282.06567,76.4305
2_6_105_51297,1989-05,283.59207,18.453136
2_6_105_51297,1989-06,290.1956,26.997406
2_6_105_51297,1989-07,291.86096,0.0
2_6_105_51297,1989-08,290.93903,1.7014694
2_6_105_51297,1989-09,288.08957,95.34372
2_6_105_51297,1989-10,282.50958,280.28897
2_6_105_51297,1989-11,279.22574,38.94464
2_6_105_51297,1989-12,277.88196,5.635536
2_6_105_51297,1990-01,273.38705,299.43607
2_6_105_51297,1990-02,272.952,127.61584
2_6_105_51297,1990-03,277.70828,56.44701
2_6_105_51297,1990-04,282.7351,21.322542
2_6_105_51297,1990-05,282.48395,306.6792
2_6_105_51297,1990-06,288.11865,7.160671
2_6_105_51297,1990-07,294.40198,9.109531
2_6_105_51297,1990-08,291.25677,33.48635
2_6_105_51297,1990-09,289.0852,15.914635
2_6_105_51297,1990-10,283.01074,65.98057
2_6_105_51297,1990-11,277.02576,35.98813
2_6_105_51297,1990-12,269.978,50.382828
2_6_105_51297,1991-01,275.38202,84.557755
2_6_105_51297,1991-02,277.9338,123.81022
2_6_105_51297,1991-03,272.86057,369.1245
2_6_105_51297,1991-04,277.31143,37.595066
2_6_105_51297,1991-05,281.99164,24.804195
2_6_105_51297,1991-06,287.97855,50.247658
2_6_105_51297,1991-07,294.96967,3.8376007
2_6_105_51297,1991-08,291.96362,15.84359
2_6_105_51297,1991-09,292.6464,0.13436127
2_6_105_51297,1991-10,286.083,30.305538
2_6_105_51297,1991-11,278.58585,88.49977
2_6_105_51297,1991-12,274.7988,215.55887
2_6_105_51297,1992-01,274.48798,159.70386
2_6_105_51297,1992-02,275.78043,445.2544
2_6_105_51297,1992-03,277.9727,311.16006
2_6_105_51297,1992-04,280.77377,127.39356
2_6_105_51297,1992-05,289.56583,4.800995
2_6_105_51297,1992-06,289.70047,56.061893
2_6_105_51297,1992-07,292.3809,3.1972961
2_6_105_51297,1992-08,293.9341,4.9318924
2_6_105_51297,1992-09,288.5418,4.0091195
2_6_105_51297,1992-10,284.693,129.19342
2_6_105_51297,1992-11,277.08725,38.58663
2_6_105_51297,1992-12,271.33118,452.51733
2_6_105_51297,1993-01,271.70044,313.65955
2_6_105_51297,1993-02,272.15512,256.04678
2_6_105_51297,1993-03,277.66318,158.20996
2_6_105_51297,1993-04,277.12924,102.13207
2_6_105_51297,1993-05,282.4863,153.73624
2_6_105_51297,1993-06,286.88593,45.66353
2_6_105_51297,1993-07,290.65277,0.029052734
2_6_105_51297,1993-08,291.88492,18.683403
2_6_105_51297,1993-09,289.79382,5.0389824
2_6_105_51297,1993-10,284.4501,51.8214
2_6_105_51297,1993-11,276.72586,39.577442
2_6_105_51297,1993-12,274.10065,379.1511
2_6_105_51297,1994-01,275.52124,239.78842
2_6_105_51297,1994-02,272.57892,213.72615
2_6_105_51297,1994-03,277.82285,68.14908
2_6_105_51297,1994-04,279.84766,70.9371
2_6_105_51297,1994-05,284.85245,100.000084
2_6_105_51297,1994-06,287.9691,0.658844
2_6_105_51297,1994-07,295.0124,0.43569946
2_6_105_51297,1994-08,291.60153,0.0
2_6_105_51297,1994-09,289.4428,10.089582
2_6_105_51297,1994-10,282.32324,9.359436
2_6_105_51297,1994-11,271.4486,281.01532
2_6_105_51297,1994-12,271.91388,174.27881
2_6_105_51297,1995-01,273.56744,1156.0046
2_6_105_51297,1995-02,278.54623,109.8825
2_6_105_51297,1995-03,274.2823,598.98315
2_6_105_51297,1995-04,277.2683,168.77563
2_6_105_51297,1995-05,282.97147,104.66943
2_6_105_51297,1995-06,286.95444,74.93573
2_6_105_51297,1995-07,292.01767,12.94886
2_6_105_51297,1995-08,291.51477,0.0
2_6_105_51297,1995-09,289.55856,0.17306864
2_6_105_51297,1995-10,284.34766,0.12886624
2_6_105_51297,1995-11,279.90308,34.60789
2_6_105_51297,1995-12,274.75806,588.081
2_6_105_51297,1996-01,273.695,321.64682
2_6_105_51297,1996-02,275.14255,370.5832
2_6_105_51297,1996-03,276.90778,112.09717
2_6_105_51297,1996-04,279.09702,157.22037
2_6_105_51297,1996-05,282.50046,140.37766
2_6_105_51297,1996-06,289.40686,6.185314
2_6_105_51297,1996-07,295.77454,9.921333
2_6_105_51297,1996-08,293.9339,0.7154312
2_6_105_51297,1996-09,287.95535,4.3157687
2_6_105_51297,1996-10,282.50476,61.52094
2_6_105_51297,1996-11,277.8349,238.44684
2_6_105_51297,1996-12,274.36697,882.18225
2_6_105_51297,1997-01,273.5508,367.72314
2_6_105_51297,1997-02,275.30115,19.39795
2_6_105_51297,1997-03,277.44183,74.18909
2_6_105_51297,1997-04,278.90955,61.088257
2_6_105_51297,1997-05,287.21738,15.590062
2_6_105_51297,1997-06,287.14932,45.366226
2_6_105_51297,1997-07,293.11533,1.9437637
2_6_105_51297,1997-08,291.45703,56.45456
2_6_105_51297,1997-09,287.7745,13.000021
2_6_105_51297,1997-10,281.34042,62.36449
2_6_105_51297,1997-11,277.1983,425.0973
2_6_105_51297,1997-12,273.40076,189.6928
2_6_105_51297,1998-01,273.41315,645.0575
2_6_105_51297,1998-02,272.4598,932.3365
2_6_105_51297,1998-03,275.35828,293.89407
2_6_105_51297,1998-04,277.32565,142.94812
2_6_105_51297,1998-05,277.9698,169.22836
2_6_105_51297,1998-06,286.8372,13.160606
2_6_105_51297,1998-07,294.04108,21.63182
2_6_105_51297,1998-08,294.36966,0.74780273
2_6_105_51297,1998-09,291.01895,4.7615175
